ID;TIPO GEOMETRIA;AÑO;CAUSA;AREA_Ha;OBSERVACION;LATITUD;LONGITUD;MUNICIPIO
694;Polygon;2014;Cultivo;23,44572;Ninguna;6' 5' 44,384' N;77' 22' 44,020' W;BAHIA SOLANO
695;Polygon;2014;Cultivo;33,90292;Ninguna;6' 6' 18,004' N;77' 22' 36,225' W;BAHIA SOLANO
696;Polygon;2014;Cultivo;37,51741;Ninguna;6' 6' 45,827' N;77' 21' 27,885' W;BAHIA SOLANO
697;Polygon;2014;Cultivo;42,91565;Ninguna;6' 5' 35,859' N;77' 20' 50,088' W;BAHIA SOLANO
698;Polygon;2014;Cultivo;43,20964;Ninguna;6' 4' 56,474' N;77' 22' 20,414' W;BAHIA SOLANO
9702;Polygon;2021;Cultivo;0,13502;Ninguna;5' 3' 2.969' N;77' 22' 20.813' W;BAJO BAUDO
7593;Polygon;2020;Cultivo;0,13782;Ninguna;5' 19' 29,234' N;77' 1' 58,783' W;BAJO BAUDO
3958;Polygon;2019;Cultivo;0,14027;Ninguna;5' 14' 1,572' N;77' 10' 2,372' W;BAJO BAUDO
3952;Polygon;2019;Cultivo;0,14401;Ninguna;5' 11' 15,560' N;77' 9' 51,423' W;BAJO BAUDO
7538;Polygon;2020;Cultivo;0,14673;Ninguna;5' 14' 15,308' N;77' 7' 0,665' W;BAJO BAUDO
3957;Polygon;2019;Cultivo;0,21881;Ninguna;5' 13' 54,438' N;77' 10' 14,892' W;BAJO BAUDO
8341;Polygon;2021;Cultivo;0,22626;Ninguna;4' 35' 0.040' N;77' 14' 5.513' W;BAJO BAUDO
7534;Polygon;2020;Cultivo;0,24418;Ninguna;5' 14' 8,897' N;77' 7' 1,462' W;BAJO BAUDO
7594;Polygon;2020;Cultivo;0,25000;Ninguna;5' 20' 0,993' N;77' 2' 11,084' W;BAJO BAUDO
3948;Polygon;2019;Cultivo;0,26744;Ninguna;5' 10' 45,004' N;77' 9' 41,786' W;BAJO BAUDO
9703;Polygon;2021;Cultivo;0,27197;Ninguna;5' 3' 0.348' N;77' 22' 16.514' W;BAJO BAUDO
4026;Polygon;2019;Cultivo;0,28422;Ninguna;4' 42' 17,863' N;77' 11' 12,134' W;BAJO BAUDO
7542;Polygon;2020;Cultivo;0,30802;Ninguna;5' 13' 8,361' N;77' 7' 18,831' W;BAJO BAUDO
7541;Polygon;2020;Cultivo;0,31273;Ninguna;5' 13' 5,479' N;77' 7' 15,781' W;BAJO BAUDO
7579;Polygon;2020;Cultivo;0,31612;Ninguna;5' 16' 42,622' N;77' 1' 14,783' W;BAJO BAUDO
7548;Polygon;2020;Cultivo;0,35869;Ninguna;5' 11' 20,587' N;77' 4' 24,329' W;BAJO BAUDO
7595;Polygon;2020;Cultivo;0,36719;Ninguna;5' 19' 49,178' N;77' 2' 13,486' W;BAJO BAUDO
7276;Polygon;2020;Cultivo;0,37084;Ninguna;5' 18' 4,574' N;76' 58' 21,383' W;BAJO BAUDO
4029;Polygon;2019;Cultivo;0,37343;Ninguna;4' 41' 15,785' N;77' 8' 32,844' W;BAJO BAUDO
8343;Polygon;2021;Cultivo;0,37776;Ninguna;4' 41' 16.901' N;77' 9' 29.768' W;BAJO BAUDO
7574;Polygon;2020;Cultivo;0,38476;Ninguna;5' 12' 32,924' N;77' 3' 50,895' W;BAJO BAUDO
1143;Polygon;2014;Cultivo;0,39413;Ninguna;5' 18' 49,556' N;77' 1' 24,283' W;BAJO BAUDO
7573;Polygon;2020;Cultivo;0,40191;Ninguna;5' 12' 25,623' N;77' 3' 50,081' W;BAJO BAUDO
3959;Polygon;2019;Cultivo;0,41347;Ninguna;5' 14' 14,550' N;77' 11' 41,968' W;BAJO BAUDO
8326;Polygon;2021;Cultivo;0,41532;Ninguna;4' 42' 52.055' N;77' 10' 54.161' W;BAJO BAUDO
9704;Polygon;2021;Cultivo;0,43210;Ninguna;5' 3' 10.405' N;77' 22' 30.514' W;BAJO BAUDO
7598;Polygon;2020;Cultivo;0,43552;Ninguna;5' 20' 41,963' N;77' 3' 51,370' W;BAJO BAUDO
